settlement_date,settlement_period,england_wales_generation_mwh,b1610_rows_used,bmu_count_used,england_wales_generation_mw
2023-01-01,1,328.047,307,307,656.094
2023-01-01,2,341.922,307,307,683.844
2023-01-01,3,387.462,307,307,774.924
2023-01-01,4,375.832,307,307,751.664
2023-01-01,5,374.456,307,307,748.912
2023-01-01,6,365.88599999999997,307,307,731.7719999999999
2023-01-01,7,348.236,307,307,696.472
2023-01-01,8,351.565,307,307,703.13
2023-01-01,9,383.339,307,307,766.678
2023-01-01,10,377.788,307,307,755.576
2023-01-01,11,355.45,307,307,710.9
2023-01-01,12,340.384,307,307,680.768
2023-01-01,13,336.41900000000004,307,307,672.8380000000001
2023-01-01,14,334.327,307,307,668.654
2023-01-01,15,320.336,307,307,640.672
2023-01-01,16,310.741,307,307,621.482
2023-01-01,17,326.97499999999997,307,307,653.9499999999999
2023-01-01,18,354.492,307,307,708.984
2023-01-01,19,339.35900000000004,307,307,678.7180000000001
2023-01-01,20,342.996,307,307,685.992
2023-01-01,21,346.823,307,307,693.646
2023-01-01,22,358.37,307,307,716.74
2023-01-01,23,358.514,307,307,717.028
2023-01-01,24,365.38000000000005,307,307,730.7600000000001
2023-01-01,25,408.738,307,307,817.476
2023-01-01,26,445.362,307,307,890.724
2023-01-01,27,469.607,307,307,939.214
2023-01-01,28,490.534,307,307,981.068
2023-01-01,29,512.74,307,307,1025.48
2023-01-01,30,460.79200000000003,307,307,921.5840000000001
2023-01-01,31,503.30600000000004,307,307,1006.6120000000001
2023-01-01,32,542.139,307,307,1084.278
2023-01-01,33,708.558,307,307,1417.116
2023-01-01,34,942.288,307,307,1884.576
2023-01-01,35,1042.145,307,307,2084.29
2023-01-01,36,1026.545,307,307,2053.09
2023-01-01,37,953.282,307,307,1906.564
2023-01-01,38,853.888,307,307,1707.776
2023-01-01,39,726.107,307,307,1452.214
2023-01-01,40,652.9110000000001,307,307,1305.8220000000001
2023-01-01,41,526.4879999999999,307,307,1052.9759999999999
2023-01-01,42,375.084,307,307,750.168
2023-01-01,43,297.244,307,307,594.488
2023-01-01,44,298.04,307,307,596.08
2023-01-01,45,296.13899999999995,307,307,592.2779999999999
2023-01-01,46,235.61499999999998,307,307,471.22999999999996
2023-01-01,47,200.779,307,307,401.558
2023-01-01,48,196.533,307,307,393.066
2023-01-02,1,181.957,307,307,363.914
2023-01-02,2,175.121,307,307,350.242
2023-01-02,3,174.765,307,307,349.53
2023-01-02,4,165.561,307,307,331.122
2023-01-02,5,178.92,307,307,357.84
2023-01-02,6,172.623,307,307,345.246
2023-01-02,7,182.63600000000002,307,307,365.27200000000005
2023-01-02,8,177.91699999999997,307,307,355.83399999999995
2023-01-02,9,183.206,307,307,366.412
2023-01-02,10,192.215,307,307,384.43
2023-01-02,11,193.372,307,307,386.744
2023-01-02,12,181.796,307,307,363.592
2023-01-02,13,190.748,307,307,381.496
2023-01-02,14,190.9,307,307,381.8
2023-01-02,15,195.554,307,307,391.108
2023-01-02,16,266.33000000000004,307,307,532.6600000000001
2023-01-02,17,337.02200000000005,307,307,674.0440000000001
2023-01-02,18,450.413,307,307,900.826
2023-01-02,19,459.61400000000003,307,307,919.2280000000001
2023-01-02,20,530.791,307,307,1061.582
2023-01-02,21,527.284,307,307,1054.568
2023-01-02,22,583.4680000000001,307,307,1166.9360000000001
2023-01-02,23,610.806,307,307,1221.612
2023-01-02,24,561.707,307,307,1123.414
2023-01-02,25,526.279,307,307,1052.558
2023-01-02,26,537.048,307,307,1074.096
2023-01-02,27,626.023,307,307,1252.046
2023-01-02,28,558.985,307,307,1117.97
2023-01-02,29,587.5550000000001,307,307,1175.1100000000001
2023-01-02,30,548.823,307,307,1097.646
2023-01-02,31,480.2300000000001,307,307,960.4600000000002
2023-01-02,32,485.04800000000006,307,307,970.0960000000001
2023-01-02,33,606.854,307,307,1213.708
2023-01-02,34,755.44,307,307,1510.88
2023-01-02,35,876.524,307,307,1753.048
2023-01-02,36,907.611,307,307,1815.222
2023-01-02,37,852.471,307,307,1704.942
2023-01-02,38,762.523,307,307,1525.046
2023-01-02,39,677.419,307,307,1354.838
2023-01-02,40,595.6220000000001,307,307,1191.2440000000001
2023-01-02,41,421.718,307,307,843.436
2023-01-02,42,377.516,307,307,755.032
2023-01-02,43,321.108,307,307,642.216
2023-01-02,44,286.371,307,307,572.742
2023-01-02,45,280.586,307,307,561.172
2023-01-02,46,291.331,307,307,582.662
2023-01-02,47,267.611,307,307,535.222
2023-01-02,48,278.206,307,307,556.412
2023-01-03,1,245.182,307,307,490.364
2023-01-03,2,268.453,307,307,536.906
2023-01-03,3,268.535,307,307,537.07
2023-01-03,4,267.599,307,307,535.198
2023-01-03,5,322.424,307,307,644.848
2023-01-03,6,307.943,307,307,615.886
2023-01-03,7,292.587,307,307,585.174
2023-01-03,8,306.51899999999995,307,307,613.0379999999999
2023-01-03,9,304.95200000000006,307,307,609.9040000000001
2023-01-03,10,302.64699999999993,307,307,605.2939999999999
2023-01-03,11,316.731,307,307,633.462
2023-01-03,12,333.363,307,307,666.726
2023-01-03,13,338.10900000000004,307,307,676.2180000000001
2023-01-03,14,417.349,307,307,834.698
2023-01-03,15,524.162,307,307,1048.324
2023-01-03,16,537.566,307,307,1075.132
