dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,BIOMASS,1765
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,CCGT,11952
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,COAL,0
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTELEC,978
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTEW,-248
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTFR,1022
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTGRNL,-514
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTIFA2,944
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTIRL,0
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTNED,384
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTNEM,62
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTNSL,1396
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,INTVKL,530
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,NPSHYD,661
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,NUCLEAR,2959
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,OCGT,13
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,OIL,0
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,OTHER,1575
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,PS,594
FUELHH,2026-06-15T20:00:00Z,2026-06-15T19:30:00Z,2026-06-15,42,WIND,3712
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,BIOMASS,1769
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,CCGT,11840
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,COAL,0
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTELEC,982
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTEW,-272
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTFR,1106
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTGRNL,-514
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTIFA2,946
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTIRL,0
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTNED,394
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTNEM,64
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTNSL,1396
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,INTVKL,536
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,NPSHYD,642
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,NUCLEAR,2955
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,OCGT,14
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,OIL,0
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,OTHER,2118
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,PS,788
FUELHH,2026-06-15T19:30:00Z,2026-06-15T19:00:00Z,2026-06-15,41,WIND,3520
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,BIOMASS,1752
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,CCGT,11704
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,COAL,0
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTELEC,972
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTEW,-274
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTFR,1394
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTGRNL,-462
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTIFA2,962
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTIRL,0
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTNED,814
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTNEM,326
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTNSL,1396
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,INTVKL,796
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,NPSHYD,641
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,NUCLEAR,2950
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,OCGT,14
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,OIL,0
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,OTHER,1746
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,PS,908
FUELHH,2026-06-15T19:00:00Z,2026-06-15T18:30:00Z,2026-06-15,40,WIND,3312
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,BIOMASS,1746
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,CCGT,11457
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,COAL,0
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTELEC,972
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTEW,-278
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTFR,1406
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTGRNL,-398
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTIFA2,964
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTIRL,0
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTNED,824
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTNEM,330
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTNSL,1396
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,INTVKL,834
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,NPSHYD,639
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,NUCLEAR,2952
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,OCGT,14
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,OIL,0
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,OTHER,1654
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,PS,852
FUELHH,2026-06-15T18:30:00Z,2026-06-15T18:00:00Z,2026-06-15,39,WIND,3045
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,BIOMASS,1767
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,CCGT,11293
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,COAL,0
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTELEC,972
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTEW,-418
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTFR,1470
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTGRNL,-452
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTIFA2,964
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTIRL,0
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTNED,1048
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTNEM,478
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTNSL,1396
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,INTVKL,1380
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,NPSHYD,544
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,NUCLEAR,2956
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,OCGT,15
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,OIL,0
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,OTHER,1282
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,PS,642
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,WIND,2759
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,BIOMASS,1752
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,CCGT,11265
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,COAL,0
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTELEC,972
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTEW,-434
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTFR,1472
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTGRNL,-458
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTIFA2,964
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTIRL,0
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTNED,1050
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTNEM,480
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTNSL,1396
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTVKL,1406
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,NPSHYD,520
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,NUCLEAR,2962
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,OCGT,14
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,OIL,0
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,OTHER,1383
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,PS,814
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,WIND,2543
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,BIOMASS,1571
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,CCGT,11236
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,COAL,0
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTELEC,996
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTEW,-528
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTFR,1502
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTGRNL,-464
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTIFA2,990
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTIRL,0
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTNED,1040
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTNEM,524
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTNSL,1396
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTVKL,1426
