publishTime,startTime,settlementDate,settlementPeriod,boundary,transmissionSystemDemand,nationalDemand
2022-12-31T23:45:00Z,2023-01-01T00:00:00Z,2023-01-01,1,N,25069,21200.0
2023-01-01T00:15:00Z,2023-01-01T00:30:00Z,2023-01-01,2,N,25516,21500.0
2023-01-01T00:45:00Z,2023-01-01T01:00:00Z,2023-01-01,3,N,25496,21140.0
2023-01-01T01:15:00Z,2023-01-01T01:30:00Z,2023-01-01,4,N,24700,20416.0
2023-01-01T01:45:00Z,2023-01-01T02:00:00Z,2023-01-01,5,N,24687,19804.0
2023-01-01T02:15:00Z,2023-01-01T02:30:00Z,2023-01-01,6,N,24136,19252.0
2023-01-01T02:45:00Z,2023-01-01T03:00:00Z,2023-01-01,7,N,23718,18690.0
2023-01-01T03:15:00Z,2023-01-01T03:30:00Z,2023-01-01,8,N,23195,18102.0
2023-01-01T03:45:00Z,2023-01-01T04:00:00Z,2023-01-01,9,N,22869,17657.0
2023-01-01T04:15:00Z,2023-01-01T04:30:00Z,2023-01-01,10,N,22644,17440.0
2023-01-01T04:45:00Z,2023-01-01T05:00:00Z,2023-01-01,11,N,23162,17519.0
2023-01-01T05:15:00Z,2023-01-01T05:30:00Z,2023-01-01,12,N,23176,17690.0
2023-01-01T05:45:00Z,2023-01-01T06:00:00Z,2023-01-01,13,N,23817,18406.0
2023-01-01T06:15:00Z,2023-01-01T06:30:00Z,2023-01-01,14,N,24090,18725.0
2023-01-01T06:45:00Z,2023-01-01T07:00:00Z,2023-01-01,15,N,24093,19153.0
2023-01-01T07:15:00Z,2023-01-01T07:30:00Z,2023-01-01,16,N,24148,19314.0
2023-01-01T07:45:00Z,2023-01-01T08:00:00Z,2023-01-01,17,N,23536,19807.0
2023-01-01T08:15:00Z,2023-01-01T08:30:00Z,2023-01-01,18,N,24232,20500.0
2023-01-01T08:15:00Z,2023-01-01T09:00:00Z,2023-01-01,19,N,23675,21505.0
2023-01-01T09:15:00Z,2023-01-01T09:30:00Z,2023-01-01,20,N,24073,22557.0
2023-01-01T09:45:00Z,2023-01-01T10:00:00Z,2023-01-01,21,N,24742,23500.0
2023-01-01T10:15:00Z,2023-01-01T10:30:00Z,2023-01-01,22,N,25095,23928.0
2023-01-01T10:45:00Z,2023-01-01T11:00:00Z,2023-01-01,23,N,25882,24518.0
2023-01-01T11:15:00Z,2023-01-01T11:30:00Z,2023-01-01,24,N,26279,25027.0
2023-01-01T11:45:00Z,2023-01-01T12:00:00Z,2023-01-01,25,N,27855,26561.0
2023-01-01T12:15:00Z,2023-01-01T12:30:00Z,2023-01-01,26,N,28452,27200.0
2023-01-01T12:45:00Z,2023-01-01T13:00:00Z,2023-01-01,27,N,28872,27600.0
2023-01-01T13:15:00Z,2023-01-01T13:30:00Z,2023-01-01,28,N,28969,27645.0
2023-01-01T13:45:00Z,2023-01-01T14:00:00Z,2023-01-01,29,N,29179,27850.0
2023-01-01T14:15:00Z,2023-01-01T14:30:00Z,2023-01-01,30,N,29475,28145.0
2023-01-01T14:45:00Z,2023-01-01T15:00:00Z,2023-01-01,31,N,30219,28695.0
2023-01-01T15:15:00Z,2023-01-01T15:30:00Z,2023-01-01,32,N,30863,29398.0
2023-01-01T15:45:00Z,2023-01-01T16:00:00Z,2023-01-01,33,N,32250,30945.0
2023-01-01T16:15:00Z,2023-01-01T16:30:00Z,2023-01-01,34,N,34131,32825.0
2023-01-01T16:45:00Z,2023-01-01T17:00:00Z,2023-01-01,35,N,34783,33400.0
2023-01-01T17:15:00Z,2023-01-01T17:30:00Z,2023-01-01,36,N,34572,33200.0
2023-01-01T17:45:00Z,2023-01-01T18:00:00Z,2023-01-01,37,N,33981,32724.0
2023-01-01T18:15:00Z,2023-01-01T18:30:00Z,2023-01-01,38,N,33196,31957.0
2023-01-01T18:45:00Z,2023-01-01T19:00:00Z,2023-01-01,39,N,32415,31278.0
2023-01-01T19:15:00Z,2023-01-01T19:30:00Z,2023-01-01,40,N,31282,30122.0
2023-01-01T19:45:00Z,2023-01-01T20:00:00Z,2023-01-01,41,N,30321,29379.0
2023-01-01T20:15:00Z,2023-01-01T20:30:00Z,2023-01-01,42,N,29387,28400.0
2023-01-01T20:45:00Z,2023-01-01T21:00:00Z,2023-01-01,43,N,28513,27711.0
2023-01-01T21:15:00Z,2023-01-01T21:30:00Z,2023-01-01,44,N,27386,26661.0
2023-01-01T21:45:00Z,2023-01-01T22:00:00Z,2023-01-01,45,N,26131,25531.0
2023-01-01T22:15:00Z,2023-01-01T22:30:00Z,2023-01-01,46,N,25277,24623.0
2023-01-01T22:45:00Z,2023-01-01T23:00:00Z,2023-01-01,47,N,24311,23526.0
2023-01-01T23:15:00Z,2023-01-01T23:30:00Z,2023-01-01,48,N,23624,22800.0
2023-01-01T23:45:00Z,2023-01-02T00:00:00Z,2023-01-02,1,N,23368,22500.0
2023-01-02T00:15:00Z,2023-01-02T00:30:00Z,2023-01-02,2,N,23523,22900.0
2023-01-02T00:45:00Z,2023-01-02T01:00:00Z,2023-01-02,3,N,23443,22732.0
2023-01-02T01:15:00Z,2023-01-02T01:30:00Z,2023-01-02,4,N,23019,22083.0
2023-01-02T01:45:00Z,2023-01-02T02:00:00Z,2023-01-02,5,N,22837,21441.0
2023-01-02T02:15:00Z,2023-01-02T02:30:00Z,2023-01-02,6,N,22571,21025.0
2023-01-02T02:45:00Z,2023-01-02T03:00:00Z,2023-01-02,7,N,21807,20098.0
2023-01-02T03:15:00Z,2023-01-02T03:30:00Z,2023-01-02,8,N,21553,19663.0
2023-01-02T03:45:00Z,2023-01-02T04:00:00Z,2023-01-02,9,N,21258,19216.0
2023-01-02T04:15:00Z,2023-01-02T04:30:00Z,2023-01-02,10,N,21313,19200.0
2023-01-02T04:45:00Z,2023-01-02T05:00:00Z,2023-01-02,11,N,21209,19667.0
2023-01-02T05:15:00Z,2023-01-02T05:30:00Z,2023-01-02,12,N,21752,20259.0
2023-01-02T05:45:00Z,2023-01-02T06:00:00Z,2023-01-02,13,N,22476,21519.0
2023-01-02T06:15:00Z,2023-01-02T06:30:00Z,2023-01-02,14,N,23503,22515.0
2023-01-02T06:45:00Z,2023-01-02T07:00:00Z,2023-01-02,15,N,24504,23333.0
2023-01-02T07:15:00Z,2023-01-02T07:30:00Z,2023-01-02,16,N,24941,23795.0
2023-01-02T07:45:00Z,2023-01-02T08:00:00Z,2023-01-02,17,N,26198,24919.0
2023-01-02T08:15:00Z,2023-01-02T08:30:00Z,2023-01-02,18,N,27103,26000.0
2023-01-02T08:15:00Z,2023-01-02T09:00:00Z,2023-01-02,19,N,28048,26860.0
2023-01-02T09:15:00Z,2023-01-02T09:30:00Z,2023-01-02,20,N,28744,27621.0
2023-01-02T09:45:00Z,2023-01-02T10:00:00Z,2023-01-02,21,N,29546,28200.0
2023-01-02T10:15:00Z,2023-01-02T10:30:00Z,2023-01-02,22,N,29753,28353.0
2023-01-02T10:45:00Z,2023-01-02T11:00:00Z,2023-01-02,23,N,30229,28795.0
2023-01-02T11:15:00Z,2023-01-02T11:30:00Z,2023-01-02,24,N,30224,28905.0
2023-01-02T11:45:00Z,2023-01-02T12:00:00Z,2023-01-02,25,N,30271,29100.0
2023-01-02T12:15:00Z,2023-01-02T12:30:00Z,2023-01-02,26,N,30221,29089.0
2023-01-02T12:45:00Z,2023-01-02T13:00:00Z,2023-01-02,27,N,29668,28603.0
2023-01-02T13:15:00Z,2023-01-02T13:30:00Z,2023-01-02,28,N,29618,28600.0
2023-01-02T13:45:00Z,2023-01-02T14:00:00Z,2023-01-02,29,N,29703,28810.0
2023-01-02T14:15:00Z,2023-01-02T14:30:00Z,2023-01-02,30,N,29952,29136.0
2023-01-02T14:45:00Z,2023-01-02T15:00:00Z,2023-01-02,31,N,30827,29979.0
2023-01-02T15:15:00Z,2023-01-02T15:30:00Z,2023-01-02,32,N,31670,31018.0
2023-01-02T15:45:00Z,2023-01-02T16:00:00Z,2023-01-02,33,N,33773,33173.0
2023-01-02T16:15:00Z,2023-01-02T16:30:00Z,2023-01-02,34,N,35819,35219.0
2023-01-02T16:45:00Z,2023-01-02T17:00:00Z,2023-01-02,35,N,36980,36380.0
2023-01-02T17:15:00Z,2023-01-02T17:30:00Z,2023-01-02,36,N,37000,36400.0
2023-01-02T17:45:00Z,2023-01-02T18:00:00Z,2023-01-02,37,N,36667,36067.0
2023-01-02T18:15:00Z,2023-01-02T18:30:00Z,2023-01-02,38,N,36393,35793.0
